Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date	Biofilm Width	Bottom of well	Biofilm intensity	Biofilm/Growth	General Notes
A1	Negative Control		0.3443		WT	PM1	3/1/16					
A2	L-Arabinose		0.3518		WT	PM1	3/1/16					
A3	N-Acetyl-D-Glucosamine		0.3043		WT	PM1	3/1/16					
A4	D-Saccharic Acid		0.4534		WT	PM1	3/1/16					
A5	Succinic Acid		0.3831		WT	PM1	3/1/16					
A6	D-Galactose		0.413		WT	PM1	3/1/16					
A7	L-Aspartic Acid		0.5077		WT	PM1	3/1/16					
A8	L-Proline		0.3805		WT	PM1	3/1/16					
A9	D-Alanine		0.2924		WT	PM1	3/1/16					
A10	D-Trehalose		0.4347		WT	PM1	3/1/16					
A11	D-Mannose		0.4447		WT	PM1	3/1/16					
A12	Dulcitol		0.3732		WT	PM1	3/1/16					
B1	D-Serine		0.2106		WT	PM1	3/1/16					
B2	D-Sorbitol		0.3536		WT	PM1	3/1/16					
B3	Glycerol		0.2692		WT	PM1	3/1/16					
B4	L-Fucose		0.3206		WT	PM1	3/1/16					
B5	D-Glucuronic Acid		0.35		WT	PM1	3/1/16					
B6	D-Gluconic Acid		0.4246		WT	PM1	3/1/16					
B7	"D,L-a-Glycerol-Phosphate"		0.2349		WT	PM1	3/1/16					
B8	D-Xylose		0.4198		WT	PM1	3/1/16					
B9	L-Lactic Acid		0.3691		WT	PM1	3/1/16					
B10	Formic Acid		0.3803		WT	PM1	3/1/16					
B11	D-Mannitol		0.4996		WT	PM1	3/1/16					
B12	L-Glutamic Acid		0.3674		WT	PM1	3/1/16					
C1	D-Glucose-6-Phosphate		0.4865		WT	PM1	3/1/16					
C2	D-Galactonic Acid-g-Lactone		0.4467		WT	PM1	3/1/16					
C3	"D,L-Malic Acid"		0.3212		WT	PM1	3/1/16					
C4	D-Ribose		0.3543		WT	PM1	3/1/16					
C5	Tween 20		0.0188		WT	PM1	3/1/16					
C6	L-Rhamnose		0.3316		WT	PM1	3/1/16					
C7	D-Fructose		0.345		WT	PM1	3/1/16					
C8	Acetic Acid		0.3502		WT	PM1	3/1/16					
C9	a-D-Glucose		0.4613		WT	PM1	3/1/16					
C10	Maltose		0.3459		WT	PM1	3/1/16					
C11	D-Melibiose		0.3905		WT	PM1	3/1/16					
C12	Thymidine		0.4677		WT	PM1	3/1/16					
D1	L-Asparagine		0.3183		WT	PM1	3/1/16					
D2	D-Aspartic Acid		0.2057		WT	PM1	3/1/16					
D3	D-Glucosaminic Acid		0.4909		WT	PM1	3/1/16					
D4	"1,2-Propanediol"		0.2988		WT	PM1	3/1/16					
D5	Tween 40		0.0179		WT	PM1	3/1/16					
D6	a-Keto-Glutaric Acid		0.2191		WT	PM1	3/1/16					
D7	a-Keto-Butyric Acid		0.4172		WT	PM1	3/1/16					
D8	a-Methyl-D-Galactoside		0.4012		WT	PM1	3/1/16					
D9	a-D-Lactose		0.3256		WT	PM1	3/1/16					
D10	Lactulose		0.2677		WT	PM1	3/1/16					
D11	Sucrose		0.3953		WT	PM1	3/1/16					
D12	Uridine		0.3675		WT	PM1	3/1/16					
E1	L-Glutamine		0.3802		WT	PM1	3/1/16					
E2	M-Tartaric Acid		0.4102		WT	PM1	3/1/16					
E3	D-Glucose-1-Phosphate		0.3119		WT	PM1	3/1/16					
E4	D-Fructose-6-Phosphate		0.3454		WT	PM1	3/1/16					
E5	Tween 80		0.0184		WT	PM1	3/1/16					
E6	a-Hydroxy Glutaric Acid-g-Lactone		0.2931		WT	PM1	3/1/16					
E7	a-Hydroxy Butyric Acid		0.4676		WT	PM1	3/1/16					
E8	b-Methyl-D-Glucoside		0.3228		WT	PM1	3/1/16					
E9	Adonitol		0.3383		WT	PM1	3/1/16					
E10	Maltotriose		0.3481		WT	PM1	3/1/16					
E11	2-Deoxy Adenosine		0.3487		WT	PM1	3/1/16					
E12	Adenosine		0.2533		WT	PM1	3/1/16					
F1	Glycil-L-Aspartic Acid		0.3389		WT	PM1	3/1/16					
F2	Citric Acid		0.2888		WT	PM1	3/1/16					
F3	M-Inositol		0.3394		WT	PM1	3/1/16					
F4	D-Threonine		0.6059		WT	PM1	3/1/16					
F5	Fumaric Acid		0.3865		WT	PM1	3/1/16					
F6	Bromo Succinic Acid		0.2212		WT	PM1	3/1/16					
F7	Propionic Acid		0.3463		WT	PM1	3/1/16					
F8	Mucic Acid		0.2208		WT	PM1	3/1/16					
F9	Glycolic Acid		0.3727		WT	PM1	3/1/16					
F10	Glyoxylic Acid		0.475		WT	PM1	3/1/16					
F11	D-Cellobiose		0.3873		WT	PM1	3/1/16					
F12	Inosine		0.3397		WT	PM1	3/1/16					
G1	Glycil-L-Glutamic Acid		0.3263		WT	PM1	3/1/16					
G2	Tricarballylic Acid		0.3859		WT	PM1	3/1/16					
