Cell	Carbon Source	OD 600 Data	OD 550	SMC #	Gene	Plate	Date
A1	Negative Control		0.283		WT	PM2A	3/2/16
A2	Chondroitin Sulfate C		0.3844		WT	PM2A	3/2/16
A3	a-Cyclodextrin		0.3896		WT	PM2A	3/2/16
A4	b-Cyclodextrin		0.4961		WT	PM2A	3/2/16
A5	g-Cyclodextrin		0.3992		WT	PM2A	3/2/16
A6	Dextrin		0.0658		WT	PM2A	3/2/16
A7	Gelatin		0.1537		WT	PM2A	3/2/16
A8	Glycogen		0.0976		WT	PM2A	3/2/16
A9	Inulin		0.3152		WT	PM2A	3/2/16
A10	Laminarin		0.2454		WT	PM2A	3/2/16
A11	Mannan		0.0955		WT	PM2A	3/2/16
A12	Pectin		0.176		WT	PM2A	3/2/16
B1	N-Acetyl-D-Galactosamine		0.2729		WT	PM2A	3/2/16
B2	N-Acetyl-Neuraminic Acid		0.3734		WT	PM2A	3/2/16
B3	b-D-Allose		0.4589		WT	PM2A	3/2/16
B4	Amygdalin		0.3294		WT	PM2A	3/2/16
B5	D-Arabinose		0.4772		WT	PM2A	3/2/16
B6	D-Arabitol		0.4717		WT	PM2A	3/2/16
B7	L-Arabitol		0.5182		WT	PM2A	3/2/16
B8	Arbutin		0.5081		WT	PM2A	3/2/16
B9	2-Deoxy-D-Ribose		0.1927		WT	PM2A	3/2/16
B10	I-Erythritol		0.2743		WT	PM2A	3/2/16
B11	D-Fucose		0.2918		WT	PM2A	3/2/16
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.2396		WT	PM2A	3/2/16
C1	Gentiobiose		0.291		WT	PM2A	3/2/16
C2	L-Glucose		0.4308		WT	PM2A	3/2/16
C3	Lactitol		0.3639		WT	PM2A	3/2/16
C4	D-Melezitose		0.395		WT	PM2A	3/2/16
C5	Maltitol		0.4408		WT	PM2A	3/2/16
C6	a-Methyl-D-Glucoside		0.5196		WT	PM2A	3/2/16
C7	b-Methyl-D-Gactoside		0.5405		WT	PM2A	3/2/16
C8	3-Methyl-Glucose		0.4329		WT	PM2A	3/2/16
C9	b-Methyl-D-Glucuronic Acid		0.5273		WT	PM2A	3/2/16
C10	a-Methyl-D-Mannoside		0.3743		WT	PM2A	3/2/16
C11	b-Methyl-D-Xyloside		0.3174		WT	PM2A	3/2/16
C12	Palatinose		0.4174		WT	PM2A	3/2/16
D1	D-Raffinose		0.2933		WT	PM2A	3/2/16
D2	Salicin		0.3419		WT	PM2A	3/2/16
D3	Sedoheptulosa		0.3994		WT	PM2A	3/2/16
D4	L-Sorbose		0.47		WT	PM2A	3/2/16
D5	Stachyose		0.4495		WT	PM2A	3/2/16
D6	D-Tagatose		0.4825		WT	PM2A	3/2/16
D7	Turanose		0.5628		WT	PM2A	3/2/16
D8	Xylitol		0.5482		WT	PM2A	3/2/16
D9	N-Acetyl-D-Glucosaminatol		0.4697		WT	PM2A	3/2/16
D10	g-Amino Butyric Acid		0.3478		WT	PM2A	3/2/16
D11	d-Amino Valeric Acid		0.2677		WT	PM2A	3/2/16
D12	Butyric Acid		0.6245		WT	PM2A	3/2/16
E1	Capric Acid		0.2871		WT	PM2A	3/2/16
E2	Caproic Acid		0.3512		WT	PM2A	3/2/16
E3	Citraconic Acid		0.6669		WT	PM2A	3/2/16
E4	Citramalic Acid		0.5006		WT	PM2A	3/2/16
E5	D-Glucosamine		0.445		WT	PM2A	3/2/16
E6	2-Hydroxy Benzoic Acid		0.6133		WT	PM2A	3/2/16
E7	4-Hydroxy Benzoic Acid		0.6183		WT	PM2A	3/2/16
E8	b-Hydroxy Butyric Acid		0.5288		WT	PM2A	3/2/16
E9	g-Hydroxy Butyric Acid		0.5012		WT	PM2A	3/2/16
E10	a-Keto Valeric Acid		0.5416		WT	PM2A	3/2/16
E11	Itaconic Acid		0.5347		WT	PM2A	3/2/16
E12	5-Keto-D-Gluconic Acid		0.4829		WT	PM2A	3/2/16
F1	D-Lactic Acid Methyl Ester		0.2275		WT	PM2A	3/2/16
F2	Malonic Acid		0.5112		WT	PM2A	3/2/16
F3	Melibionic Acid		0.2726		WT	PM2A	3/2/16
F4	Oxalic Acid		0.5703		WT	PM2A	3/2/16
F5	Oxalomalic Acid		0.6641		WT	PM2A	3/2/16
F6	Quinic Acid		0.4013		WT	PM2A	3/2/16
F7	"D-Ribono-1,4-Lactone"		0.6084		WT	PM2A	3/2/16
F8	Sebacic Acid		0.556		WT	PM2A	3/2/16
F9	Sorbic Acid		0.2454		WT	PM2A	3/2/16
F10	Succinamic Acid		0.3629		WT	PM2A	3/2/16
F11	D-Tartaric Acid		0.6341		WT	PM2A	3/2/16
F12	L-Tartaric Acid		0.6511		WT	PM2A	3/2/16
G1	Acetamide		0.3164		WT	PM2A	3/2/16
G2	L-Alaninamide		0.4115		WT	PM2A	3/2/16
G3	N-Acetyl-L-Glutamic Acid		0.5446		WT	PM2A	3/2/16
G4	L-Arginine		0.6289		WT	PM2A	3/2/16
G5	Glycine		0.6409		WT	PM2A	3/2/16
G6	L-Histidine		0.5238		WT	PM2A	3/2/16
G7	L-Homoserine		0.1268		WT	PM2A	3/2/16
G8	Hydroxy-L-Proline		0.6565		WT	PM2A	3/2/16
G9	L-Isoleucine		0.7376		WT	PM2A	3/2/16
G10	L-Leucine		0.5066		WT	PM2A	3/2/16
G11	L-Lysine		0.3882		WT	PM2A	3/2/16
G12	L-Methionine		0.5033		WT	PM2A	3/2/16
H1	L-Ornithine		0.6102		WT	PM2A	3/2/16
H2	Phenylalanine		0.3699		WT	PM2A	3/2/16
H3	L-Pyroglutamic Acid		0.4843		WT	PM2A	3/2/16
H4	L-Valine		0.5551		WT	PM2A	3/2/16
H5	"D,L-Carnitine"		0.5042		WT	PM2A	3/2/16
H6	Sec-Butylamine		0.597		WT	PM2A	3/2/16
H7	"D,L-Octopamine"		0.7383		WT	PM2A	3/2/16
H8	Putrescine		0.5779		WT	PM2A	3/2/16
H9	Dihydroxy Acetone		0.2808		WT	PM2A	3/2/16
H10	"2,3-Butanediol"		0.5313		WT	PM2A	3/2/16
H11	"2,3-Butanone"		0.2251		WT	PM2A	3/2/16
H12	3-Hydroxy 2-Butanone		0.4198		WT	PM2A	3/2/16
A1	Negative Control		0.45		0048	PM2A	3/2/16
A2	Chondroitin Sulfate C		0.3588		0048	PM2A	3/2/16
A3	a-Cyclodextrin		0.4676		0048	PM2A	3/2/16
A4	b-Cyclodextrin		0.4656		0048	PM2A	3/2/16
A5	g-Cyclodextrin		0.3587		0048	PM2A	3/2/16
A6	Dextrin		0.0867		0048	PM2A	3/2/16
A7	Gelatin		0.1997		0048	PM2A	3/2/16
A8	Glycogen		0.178		0048	PM2A	3/2/16
A9	Inulin		0.2871		0048	PM2A	3/2/16
A10	Laminarin		0.343		0048	PM2A	3/2/16
A11	Mannan		0.0847		0048	PM2A	3/2/16
A12	Pectin		0.3261		0048	PM2A	3/2/16
B1	N-Acetyl-D-Galactosamine		0.5236		0048	PM2A	3/2/16
B2	N-Acetyl-Neuraminic Acid		0.4697		0048	PM2A	3/2/16
B3	b-D-Allose		0.4835		0048	PM2A	3/2/16
B4	Amygdalin		0.2649		0048	PM2A	3/2/16
B5	D-Arabinose		0.3488		0048	PM2A	3/2/16
B6	D-Arabitol		0.5567		0048	PM2A	3/2/16
B7	L-Arabitol		0.3167		0048	PM2A	3/2/16
B8	Arbutin		0.3835		0048	PM2A	3/2/16
B9	2-Deoxy-D-Ribose		0.2423		0048	PM2A	3/2/16
B10	I-Erythritol		0.3427		0048	PM2A	3/2/16
B11	D-Fucose		0.4458		0048	PM2A	3/2/16
B12	3-0-b-D-Galactopyranosyl-D-Arabinose		0.4846		0048	PM2A	3/2/16
C1	Gentiobiose		0.4967		0048	PM2A	3/2/16
C2	L-Glucose		0.502		0048	PM2A	3/2/16
C3	Lactitol		0.412		0048	PM2A	3/2/16
C4	D-Melezitose		0.3432		0048	PM2A	3/2/16
C5	Maltitol		0.3086		0048	PM2A	3/2/16
C6	a-Methyl-D-Glucoside		0.3828		0048	PM2A	3/2/16
C7	b-Methyl-D-Gactoside		0.3615		0048	PM2A	3/2/16
C8	3-Methyl-Glucose		0.3883		0048	PM2A	3/2/16
C9	b-Methyl-D-Glucuronic Acid		0.2973		0048	PM2A	3/2/16
C10	a-Methyl-D-Mannoside		0.3581		0048	PM2A	3/2/16
C11	b-Methyl-D-Xyloside		0.4104		0048	PM2A	3/2/16
C12	Palatinose		0.4529		0048	PM2A	3/2/16
D1	D-Raffinose		0.4733		0048	PM2A	3/2/16
D2	Salicin		0.3737		0048	PM2A	3/2/16
D3	Sedoheptulosa		0.4223		0048	PM2A	3/2/16
D4	L-Sorbose		0.3438		0048	PM2A	3/2/16
D5	Stachyose		0.322		0048	PM2A	3/2/16
D6	D-Tagatose		0.3611		0048	PM2A	3/2/16
D7	Turanose		0.3062		0048	PM2A	3/2/16
D8	Xylitol		0.3552		0048	PM2A	3/2/16
D9	N-Acetyl-D-Glucosaminatol		0.3032		0048	PM2A	3/2/16
D10	g-Amino Butyric Acid		0.3683		0048	PM2A	3/2/16
